,Region,Average_R2
298,3_122255250_123798921,-2.049789171816221
299,3_123798921_125217798,-1.7771811928182317
300,3_125217798_126496100,-60.57529645210893
301,3_126496100_128476018,-2.0879690268852413
302,3_128476018_130525891,-5597.655397786277
303,3_130525891_132117672,-4.262839089936694
304,3_132117672_133533329,-10.754611895959005
305,3_133533329_135738064,-1.86055416192698
306,3_135738064_137652241,-0.3463107079611299
307,3_137652241_140235755,-7.77579638998098
308,3_140235755_141620255,-2.0691440575002433
309,3_141620255_143445786,-7.182954904575148
310,3_143445786_144691974,-0.375571745906647
311,3_145946832_147008842,-0.30488293229436875
312,3_147008842_149325450,-49.618630205475945
313,3_149325450_150534217,-0.9852583052996582
314,3_150534217_151630942,-0.5573036869290494
315,3_151630942_153538782,-1.454772624297481
316,3_153538782_154996429,-0.18650582322214465
317,3_154996429_156290911,-1.2579369327373615
318,3_156290911_157594239,-1.0119187509526857
319,3_157594239_159760101,-3.348303875647378
320,3_159760101_161806716,-2.235763300672693
321,3_163535417_165337681,-0.09064768607908151
322,3_165337681_167399641,-1.6651853313538851
323,3_167399641_168863172,-0.23300890777056255
324,3_168863172_171247120,-19.56248221532522
325,3_171247120_172577941,-1.9065160590603203
326,3_172577941_173759495,-1.7218559710771202
327,3_173759495_175398750,-22.685654341608625
328,3_175398750_176602499,-2.557878209924201
329,3_176602499_178389377,-3.7779871455571743
330,3_178389377_179656798,-1.8699774499770299
331,3_179656798_181793378,-1.3090827726852967
332,3_181793378_184051895,-0.797736936779909
333,3_184051895_185350467,-2.415586199148738
334,3_185350467_187172556,-14.107830764851377
335,3_187172556_189138425,-10.98217367241784
336,3_189138425_190508818,-7.567983191371963
337,3_190508818_192626025,-7.02124378775928
338,3_192626025_194338942,-396.6745451267637
339,3_194338942_195065945,-0.26539006866088094
340,3_196244537_197349116,-2.97891696456326
341,3_197349116_198219751,-8.108064582223822
342,4_10240_700926,-0.9584367869059506
343,4_700926_1476986,-1.1185519871906817
344,4_1476986_2841252,-1.365101766802553
345,4_3844313_4682389,-0.4808582465202548
346,4_4682389_5500661,-0.7834279526143624
347,4_6771316_7537965,-9.786698193444368
348,4_7537965_8150508,-31.955376304292724
349,4_8150508_9324753,-679.4036161370874
350,4_9324753_10697528,-1.135103799798538
351,4_10697528_12321410,-0.07042310638276965
352,4_12321410_14270377,-0.07196929286795055
353,4_14270377_15145822,-0.04093342263015622
354,4_15145822_15925386,-0.15468630144970358
355,4_15925386_17381699,-1.146794544106704
356,4_17381699_18840251,-0.233629535513359
357,4_18840251_20542934,-0.30009619314659625
358,4_20542934_22317724,-5.7452893003137735
359,4_22317724_24133906,-0.1224240493995262
360,4_24133906_25607700,-0.5715738884422045
361,4_25607700_27342100,-1.1877729976492026
362,4_30452913_31781359,-0.1894444304177448
363,4_35149793_36018814,-0.13342629947700976
364,4_36018814_37253425,-4.361470035083281
365,4_37253425_38905401,-6.75776837547672
366,4_38905401_40200989,-2.258910166399688
367,4_40200989_42211041,-19.218269618726126
368,4_42211041_43963028,-0.37522665095644664
369,4_43963028_45187140,-0.2762878089785531
370,4_45187140_47409879,-1.0222369438181511
371,4_47409879_48121583,-0.8357758378981706
372,4_53011266_54563389,-1.3393090379891135
373,4_54563389_55681477,-0.9996982809505589
374,4_55681477_58068842,-2.214481399653735
375,4_63475283_65734774,-3.2559506885093876
376,4_67193779_67989047,-0.3102136171549102
377,4_70183435_71274841,-0.6760703346640771
378,4_71274841_73726673,-2.955441783414385
379,4_73726673_76209554,-58.44560259034861
380,4_76209554_78172825,-151.99642220604738
381,4_78172825_80069143,-6.437168909072026
382,4_80069143_81204161,-0.6176691635517099
383,4_81204161_82451440,-1.4302570533364958
384,4_82451440_83878503,-1.0549672054165895
385,4_83878503_86009456,-4.590072451755766
386,4_86009456_86613495,-0.40160546910854134
387,4_86613495_88316876,-1.43801072221718
388,4_88316876_89310413,-0.6601989064615856
389,4_89310413_90639526,-3.030354181092291
390,4_93312148_95261037,-6.546113798581371
391,4_95261037_96619552,-0.35218970801436755
392,4_96619552_98502916,-3.236698451254631
393,4_98502916_99757203,-0.9585373934876994
394,4_99757203_102300199,-47.66197591176609
395,4_102300199_104384137,-3.4979913961763756
396,4_104384137_106580148,-2.0015850473203125
397,4_106580148_107894192,-0.7436151026507998
398,4_107894192_110335411,-51.35455102495325
399,4_112948946_114745090,-4.205177941398928
400,4_114745090_116355773,-0.1369550713576782
401,4_117558763_119012357,-1.8426620742968325
402,4_119012357_119471529,-0.2924878726232613
403,4_119471529_121736832,-26.209374873315312
404,4_121736832_123365326,-0.8699611110514109
405,4_123365326_124289707,-0.016650939380151053
406,4_124289707_125559731,-0.7420548130077111
407,4_126909138_128075510,-0.20756424565879628
408,4_128075510_129670730,-0.5089922965707675
409,4_132032878_133707279,-0.026702681034434673
410,4_133707279_135645252,-0.011213717008101209
411,4_135645252_137620817,-0.021045204720691046
412,4_137620817_138635357,-0.02611830136841875
413,4_138635357_140163477,-0.9386999042500934
414,4_140163477_142522112,-19.995362555196785
415,4_142522112_145257035,-10.843110345984025
416,4_145257035_147600722,-2.8071622502320963
417,4_147600722_149762428,-0.45748130827751865
418,4_149762428_151861032,-1.3789817629667882
419,4_151861032_153556489,-0.8615243224122322
420,4_153556489_154134974,-0.05415397049032018
421,4_154134974_156563945,-2.573122669667386
422,4_156563945_157822566,-0.2126146437898933
423,4_157822566_160137712,-0.6621106477527232
424,4_160905283_162322527,-0.8426191127678792
425,4_162322527_163557082,-0.11255281617035204
426,4_163557082_164902296,-0.02473792289201131
427,4_164902296_166097706,-0.970569541099296
428,4_166097706_166931766,-1.8713381757375918
429,4_166931766_168755674,-26.61068332616079
430,4_168755674_169855359,-1.0365417908328012
431,4_169855359_171637484,-0.0427933541180753
432,4_171637484_173342981,-0.877305245435833
433,4_175649565_178070756,-8.50281839614462
434,4_181145654_182450122,-1.08065334719596
435,4_185987936_187551827,-1.262989718345399
436,4_187551827_188772357,-0.20059664403042232
437,4_188772357_190122439,-0.8815356708149469
438,5_11940_982137,-211.62746411286372
439,5_982137_2132328,-4.6145958843166826
440,5_2132328_3361827,-0.017408298390633136
441,5_4631997_5973120,-0.2618004775932787
442,5_5973120_7143105,-0.25910240111940175
443,5_7143105_8446223,-0.3498101979237219
444,5_8446223_9718720,-0.9162898369292366
445,5_9718720_11173159,-3.617807656129662
446,5_11173159_13464722,-0.7000242766027379
447,5_13464722_14757695,-1.396179124352108
448,5_14757695_16963504,-8.479534621715747
449,5_16963504_18051483,-0.12291208309223003
450,5_18051483_19917607,-0.6950636795060423
451,5_22151964_23494215,-1.397730487803622
452,5_23494215_26184742,-0.9205989699146088
453,5_26857495_27984406,-0.09857575419975215
454,5_29714713_31390142,-0.06792551273484934
455,5_31390142_33500075,-2.848390593639187
456,5_33500075_35048865,-8.933750528319994
457,5_35048865_36433852,-0.578938562059259
458,5_36433852_38802308,-2.578929082652245
459,5_38802308_40287627,-0.2678345347278131
460,5_40287627_41888608,-1.409998259995822
461,5_41888608_43983397,-2.012463548091023
462,5_50867564_52838788,-1.9633124595686346
463,5_52838788_54407214,-3.274666076299023
464,5_54407214_56121522,-2.56060587460585
465,5_56121522_57325275,-1.592614752440377
466,5_58044246_59228796,-5.959916267733886
467,5_59228796_61640080,-6.198976727278719
468,5_61640080_62377168,-0.10695934597148496
469,5_62377168_63923160,-0.12219990168419055
470,5_63923160_64672477,-0.25589364317097696
471,5_64672477_66615458,-18.906737131598014
472,5_66615458_68555033,-3.2735928561478516
473,5_71944629_74463501,-2.054398930947604
474,5_74463501_76503041,-71.92880194340209
475,5_76503041_78327508,-8.558937989206726
476,5_78327508_80097321,-2.5253107750749484
477,5_80097321_81185652,-1.5820830514218494
478,5_81185652_82729829,-0.9053692126624832
479,5_82729829_84676871,-1.127046516069455
480,5_86471473_88094174,-0.2827981908905811
481,5_88094174_89595713,-0.20810248059229605
482,5_89595713_91126837,-0.05603853133574947
483,5_91126837_92504835,-0.024118050239261057
484,5_92504835_94474279,-0.30611147629419094
485,5_94474279_96627815,-10.349759390346673
486,5_96627815_97979897,-0.7182554828870561
487,5_97979897_99925288,-0.08098771554539445
488,5_99925288_102243065,-0.9291655451289982
489,5_102243065_103984304,-0.6072696641989334
490,5_106557354_107928495,-0.6478090028998666
491,5_107928495_109298233,-1.1052647048232578
492,5_109298233_111485446,-18.541551083252152
493,5_111485446_112645865,-1.3235608489310895
494,5_112645865_114060588,-6.951895295858058
495,5_114060588_115494673,-1.2888275229653228
496,5_115494673_116495351,-1.0281526907458847
497,5_116495351_118010518,-0.10180060150220024
498,5_118010518_119273125,-0.22946338420628107
499,5_119273125_120333347,-0.1623380694597872
500,5_120333347_121116471,-0.10582137339503643
501,5_121116471_123221211,-1.0550094667317755
502,5_123221211_124462407,-0.08809170562516444
503,5_124462407_126449957,-0.06619394198259468
504,5_126449957_128008912,-0.8193836513844666
505,5_128008912_130183332,-6.25653276133165
506,5_130183332_132803957,-3.5322068144217296
507,5_132803957_135441711,-6.405440088926751
508,5_135441711_137040361,-4.397911245236055
509,5_137040361_139885487,-8.532891726989293
510,5_139885487_141266403,-0.8540777119855185
511,5_141266403_143601683,-217.96587743648402
512,5_143601683_145563791,-1.458411184531704
513,5_145563791_147802435,-3.5613373675809292
514,5_147802435_149283061,-1.8317490359646755
515,5_149283061_151181737,-12.74591556309157
516,5_151181737_153488214,-1.0565552734973485
517,5_153488214_154393528,-0.7491440270534999
518,5_154393528_155946495,-13.026141681623523
519,5_155946495_157201689,-1.4007218533368315
520,5_157201689_159398690,-7.626240916418925
521,5_159398690_160546937,-0.37085656708453774
522,5_160546937_162055127,-2.128067699850899
523,5_162055127_163316902,-0.0754704899614406
524,5_163316902_164344576,-0.02684994136766674
525,5_166215390_167420735,-0.7694634471538617
526,5_167420735_169098313,-72.70754781489144
527,5_169098313_170078660,-2.589910320029567
528,5_170078660_171647288,-58.74350576219789
529,5_171647288_173251324,-1.9389827430925686
530,5_173251324_174215868,-0.6983079683793795
531,5_174215868_176023592,-8.221184543805387
532,5_177824506_178986463,-16.10641998002004
533,5_178986463_179974244,-15.019301087934958
534,5_179974244_181132933,-3.613292687636477
535,5_181132933_181458155,-0.07681176586608536
536,6_73924_1452127,-18.475143986092764
537,6_1452127_2458702,-0.548501462498623
538,6_2458702_3573359,-1.1790857386004625
539,6_3573359_4617583,-0.2703703852691478
540,6_4617583_5791239,-1.552138485113185
541,6_5791239_6784974,-14.453277777464445
542,6_6784974_7808703,-0.8651453240676865
543,6_7808703_9019793,-0.7200787999568611
544,6_9019793_10540084,-0.14157925371093089
545,6_10540084_11790583,-1.2493587572252576
546,6_11790583_13209156,-2.1056602820009065
547,6_13209156_14802693,-1.377028115968634
548,6_14802693_17386174,-32.03022278120236
549,6_17386174_19207256,-1.394496680191295
550,6_19207256_21683834,-3.2827620872190244
551,6_21683834_22748078,-0.18118515565009824
552,6_23936391_24852047,-0.5588642816984356
553,6_24852047_25684359,-0.03502240812722688
554,6_25684359_26791023,-0.9260014031928421
555,6_26791023_28050041,-0.09507011143839592
556,6_28050041_28949831,-0.40235325337323413
557,6_28949831_29770194,-0.8515343446788777
558,6_29770194_30830391,-65.89056903494853
559,6_32714887_33268720,-1.8792914485199579
560,6_33268720_35487979,-20.778273975830835
561,6_35487979_37604820,-7.5059751213673085
562,6_37604820_39327901,-3.788809705300575
563,6_39327901_40377376,-0.28324399616478335
564,6_40377376_42070983,-7.125534349469108
565,6_42070983_43788432,-1.916545270101792
566,6_43788432_45438826,-2.0571001929811508
567,6_45438826_47344162,-3.355472861900875
568,6_47344162_48423389,-0.23844162811142922
569,6_48423389_50418432,-0.14099126255889236
570,6_50418432_52345678,-2.8123657955474695
571,6_52345678_53414304,-1.5400373485191523
572,6_53414304_55603472,-156.39193595875838
573,6_55603472_56240515,-0.5956809347898104
574,6_61356685_62842983,-0.34270995825867984
575,6_62842983_65055849,-8.550382846333438
576,6_65055849_66619322,-3.639822050281816
577,6_68813556_70899807,-1.227763416595804
578,6_70899807_72740374,-20.986662141529884
579,6_72740374_74752287,-1.808550923666972
580,6_74752287_76705164,-0.561027358564308
581,6_76705164_78248011,-0.16747013951421566
582,6_78248011_79981453,-0.7465990167931178
583,6_79981453_81219505,-0.18648701081699642
584,6_81219505_82417432,-0.08831196680183213
585,6_82417432_84500271,-0.39979718058391206
586,6_84500271_86359782,-0.9275960069937618
587,6_86359782_88112422,-0.9236875548129305
588,6_88112422_89263333,-1.7902103803693574
589,6_89263333_91133478,-1.6964694735653398
590,6_92718926_93408424,-0.05266128977668703
591,6_93408424_93731457,-0.05266128977668703
592,6_93731457_96645635,-1.0154164787556437
593,6_96645635_97394408,-0.2190590446598613
594,6_97394408_100182270,-1.1319760360749755
595,6_100182270_102188897,-2.5941151909532794
596,6_103535520_105608858,-0.4174594213177952
597,6_105608858_107129102,-1.457178999861922
598,6_107129102_108143176,-0.6056611159722335
599,6_108143176_109983044,-1.5198810289479767
600,6_109983044_112023811,-1.3432624470506678
601,6_112023811_113899669,-2.123290908011453
602,6_113899669_115810232,-0.19834901423437373
603,6_115810232_117351809,-1.0015745119107038
604,6_117351809_118641952,-1.3222713119632128
605,6_118641952_119642117,-0.4805628260048378
606,6_120190982_121584530,-0.2354871960571229
607,6_121584530_123535036,-1.067144550267552
608,6_123535036_125103237,-2.929294641994939
609,6_125103237_127219316,-0.9619799522048181
610,6_127219316_129539886,-3.4081422870253233
611,6_129539886_130614309,-0.5804370298458407
612,6_130614309_132444530,-146.0923971862055
613,6_132444530_133923105,-0.7474973481812908
614,6_133923105_135903039,-2.533672081318997
615,6_135903039_137293081,-0.6689981230685358
616,6_137293081_138501492,-0.7476460319135398
617,6_138501492_139524299,-0.820920145805092
618,6_141967342_144998674,-4.924729498488897
619,6_144998674_146344288,-0.4294775827054108
620,6_146344288_148599216,-23.706113908841246
621,6_148599216_149932268,-1.208346436705691
622,6_149932268_151591568,-47.28676542627889
623,6_151591568_152773361,-1.359447094978358
624,6_152773361_154652986,-8.783178147727149
625,6_154652986_156442192,-0.7231716029374857
626,6_156442192_157797687,-2.123215652382518
627,6_160159465_161748532,-18.527799782983358
628,6_162510171_163962489,-0.9898028844876741
629,6_165173375_166611245,-14.47101244168023
630,6_166611245_167642155,-9.179184421650337
631,6_167642155_168981955,-8.011498070751118
632,6_168981955_170014949,-0.40076782581081893
633,6_170014949_170742182,-0.38430250905969526
634,7_16161_933116,-7.712191807820004
635,7_933116_1313431,-0.3308516739377533
636,7_1313431_2022763,-0.740026774734465
637,7_2022763_2732593,-1.4994272600399428
638,7_2732593_4533797,-219.94264717914103
639,7_4533797_5376601,-1.6739128116616988
640,7_5376601_5814895,-0.39874912297047577
641,7_5814895_6534226,-1.2060246806689254
642,7_6534226_7769121,-18.400119033192006
643,7_7769121_9083793,-0.9449118547627728
644,7_9947872_11259571,-0.11481830601513318
645,7_11259571_12595836,-3.480871897006439
